               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.030338,            0.044205,           0.0023582,             0.80195,             0.73013,             0.76092,             0.45487,            0.038796,            0.054082,           0.0062239,            0.002773,            0.002773,            0.002773
                  75,            0.029155,            0.045191,           0.0021144,             0.81381,             0.70475,             0.76121,             0.45313,            0.039364,            0.053715,           0.0056113,            0.002674,            0.002674,            0.002674
                  76,            0.029992,            0.043855,           0.0021002,             0.81199,             0.71738,             0.76375,             0.44969,            0.039066,            0.054973,           0.0058423,            0.002575,            0.002575,            0.002575
                  77,            0.029701,            0.044949,           0.0018568,             0.80365,              0.7246,             0.75836,             0.45201,            0.039075,            0.054889,           0.0060163,            0.002476,            0.002476,            0.002476
                  78,            0.028975,            0.042638,           0.0020595,             0.76161,              0.7445,             0.75063,             0.44591,            0.039585,            0.055625,           0.0060958,            0.002377,            0.002377,            0.002377
                  79,            0.029879,            0.042373,           0.0017986,             0.82041,             0.72572,             0.75803,             0.45721,            0.038868,            0.055875,           0.0059499,            0.002278,            0.002278,            0.002278
                  80,            0.029247,            0.044422,           0.0017664,             0.81677,              0.7268,             0.76426,             0.45657,            0.038856,            0.054809,           0.0059799,            0.002179,            0.002179,            0.002179
                  81,            0.028955,            0.040891,           0.0020372,             0.80181,             0.73073,              0.7632,             0.45848,            0.038844,             0.05585,           0.0058868,             0.00208,             0.00208,             0.00208
                  82,            0.028615,            0.040348,           0.0017681,             0.80688,             0.70563,             0.75927,             0.45708,            0.038617,            0.055643,           0.0057486,            0.001981,            0.001981,            0.001981
                  83,            0.028977,            0.040277,           0.0018127,               0.806,             0.71608,             0.75015,             0.44745,            0.039382,            0.055503,           0.0057735,            0.001882,            0.001882,            0.001882
                  84,             0.02901,            0.042217,           0.0018588,             0.78859,             0.73524,             0.75846,             0.45092,             0.03898,             0.05518,           0.0056208,            0.001783,            0.001783,            0.001783
                  85,            0.028912,            0.042296,           0.0016418,             0.81215,             0.73053,             0.76927,             0.46509,            0.038626,             0.05496,           0.0052112,            0.001684,            0.001684,            0.001684
                  86,            0.028192,            0.042239,           0.0019068,             0.80698,             0.75684,             0.77901,             0.47212,            0.038753,            0.054591,           0.0052217,            0.001585,            0.001585,            0.001585
                  87,            0.028367,            0.041454,           0.0018885,             0.84316,             0.72039,             0.77919,             0.46931,            0.038687,            0.055105,           0.0055268,            0.001486,            0.001486,            0.001486
                  88,            0.027188,            0.041545,           0.0016359,             0.82898,             0.72406,             0.77292,              0.4623,            0.038557,             0.05541,           0.0057496,            0.001387,            0.001387,            0.001387
                  89,            0.027053,            0.040191,           0.0015617,             0.82661,             0.72444,             0.76657,             0.46066,            0.038732,            0.055469,            0.005638,            0.001288,            0.001288,            0.001288
                  90,            0.028073,            0.043526,           0.0016216,             0.80717,             0.72825,             0.77084,             0.46916,            0.038456,            0.055307,           0.0057137,            0.001189,            0.001189,            0.001189
                  91,            0.027372,            0.040314,           0.0015233,             0.81556,              0.7306,             0.77013,             0.47009,            0.038333,            0.055513,           0.0056206,             0.00109,             0.00109,             0.00109
                  92,            0.027433,            0.042099,            0.001375,             0.82127,             0.72967,             0.77013,             0.46691,            0.038261,            0.055651,            0.005712,            0.000991,            0.000991,            0.000991
                  93,            0.027005,            0.039473,           0.0015118,             0.78997,             0.74644,             0.76616,             0.46597,            0.038296,            0.056128,           0.0056044,            0.000892,            0.000892,            0.000892
                  94,            0.027452,            0.044026,           0.0013779,             0.80981,             0.73842,             0.76843,             0.47052,            0.038063,              0.0555,           0.0055456,            0.000793,            0.000793,            0.000793
                  95,             0.02773,            0.042593,           0.0014171,             0.83438,             0.71716,              0.7701,             0.46977,            0.038373,            0.055074,           0.0054203,            0.000694,            0.000694,            0.000694
                  96,            0.027341,            0.042746,           0.0013876,             0.83338,             0.72615,             0.77066,             0.46806,            0.038368,            0.055427,           0.0054617,            0.000595,            0.000595,            0.000595
                  97,            0.026735,            0.041967,           0.0015293,             0.84163,             0.71005,             0.77086,             0.47151,            0.038359,            0.056147,           0.0054878,            0.000496,            0.000496,            0.000496
                  98,            0.026892,            0.041238,           0.0012993,             0.83893,             0.69814,             0.76963,             0.46592,            0.038462,            0.056597,           0.0054469,            0.000397,            0.000397,            0.000397
                  99,            0.027225,             0.04532,           0.0014201,             0.77615,             0.74456,             0.76947,             0.46671,             0.03832,            0.056423,           0.0054268,            0.000298,            0.000298,            0.000298
